date_added,company,segment,priority,decision_maker_role,website,contact_page,email_or_route,suburb_focus,status,next_action
2026-02-26,CBRE Australia,Property Services,Tier1,Facilities Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Colliers Australia,Property Services,Tier1,Senior Facilities Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Colliers Australia,Property Services,Tier1,Building Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Colliers Australia,Property Services,Tier1,Head of Property Operations,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Colliers Australia,Property Services,Tier1,Procurement Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank Australia,Property Services,Tier1,Facilities Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank Australia,Property Services,Tier1,Senior Facilities Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank Australia,Property Services,Tier1,Building Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank Australia,Property Services,Tier1,Head of Property Operations,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank Australia,Property Services,Tier1,Procurement Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cushman & Wakefield AU,Property Services,Tier1,Facilities Manager,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cushman & Wakefield AU,Property Services,Tier1,Senior Facilities Manager,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cushman & Wakefield AU,Property Services,Tier1,Building Manager,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cushman & Wakefield AU,Property Services,Tier1,Head of Property Operations,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cushman & Wakefield AU,Property Services,Tier1,Procurement Manager,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Savills Australia,Property Services,Tier1,Facilities Manager,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Savills Australia,Property Services,Tier1,Senior Facilities Manager,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Savills Australia,Property Services,Tier1,Building Manager,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Savills Australia,Property Services,Tier1,Head of Property Operations,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Savills Australia,Property Services,Tier1,Procurement Manager,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Charter Hall,Asset Owner,Tier1,Asset Manager,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Charter Hall,Asset Owner,Tier1,Facilities Manager,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Charter Hall,Asset Owner,Tier1,Property Operations Manager,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Charter Hall,Asset Owner,Tier1,Head of Operations,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Charter Hall,Asset Owner,Tier1,Procurement Manager,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Dexus,Asset Owner,Tier1,Asset Manager,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Dexus,Asset Owner,Tier1,Facilities Manager,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Dexus,Asset Owner,Tier1,Property Operations Manager,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Dexus,Asset Owner,Tier1,Head of Operations,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Dexus,Asset Owner,Tier1,Procurement Manager,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Mirvac,Asset Owner,Tier1,Asset Manager,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Mirvac,Asset Owner,Tier1,Facilities Manager,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Mirvac,Asset Owner,Tier1,Property Operations Manager,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Mirvac,Asset Owner,Tier1,Head of Operations,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Mirvac,Asset Owner,Tier1,Procurement Manager,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,GPT Group,Asset Owner,Tier1,Asset Manager,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,GPT Group,Asset Owner,Tier1,Facilities Manager,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,GPT Group,Asset Owner,Tier1,Property Operations Manager,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,GPT Group,Asset Owner,Tier1,Head of Operations,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,GPT Group,Asset Owner,Tier1,Procurement Manager,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Stockland,Asset Owner,Tier2,Asset Manager,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Stockland,Asset Owner,Tier2,Facilities Manager,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Stockland,Asset Owner,Tier2,Property Operations Manager,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Stockland,Asset Owner,Tier2,Head of Operations,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Stockland,Asset Owner,Tier2,Procurement Manager,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Lendlease,Asset Owner,Tier1,Asset Manager,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Lendlease,Asset Owner,Tier1,Facilities Manager,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Lendlease,Asset Owner,Tier1,Property Operations Manager,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Lendlease,Asset Owner,Tier1,Head of Operations,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Lendlease,Asset Owner,Tier1,Procurement Manager,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Investa,Office Specialist,Tier1,Building Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Investa,Office Specialist,Tier1,Facilities Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Investa,Office Specialist,Tier1,Operations Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Investa,Office Specialist,Tier1,Property Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Investa,Office Specialist,Tier1,Procurement Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,ISPT,Asset Owner,Tier2,Asset Manager,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,ISPT,Asset Owner,Tier2,Facilities Manager,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,ISPT,Asset Owner,Tier2,Property Operations Manager,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,ISPT,Asset Owner,Tier2,Head of Operations,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,ISPT,Asset Owner,Tier2,Procurement Manager,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Frasers Property Australia,Asset Owner,Tier2,Asset Manager,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Frasers Property Australia,Asset Owner,Tier2,Facilities Manager,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Frasers Property Australia,Asset Owner,Tier2,Property Operations Manager,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Frasers Property Australia,Asset Owner,Tier2,Head of Operations,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Frasers Property Australia,Asset Owner,Tier2,Procurement Manager,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Goodman Group,Industrial/Commercial,Tier2,Facilities Manager,https://www.goodman.com,https://www.goodman.com/contact-us,investor.relations@goodman.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Goodman Group,Industrial/Commercial,Tier2,Operations Manager,https://www.goodman.com,https://www.goodman.com/contact-us,investor.relations@goodman.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Goodman Group,Industrial/Commercial,Tier2,Procurement Manager,https://www.goodman.com,https://www.goodman.com/contact-us,investor.relations@goodman.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Centuria,Asset Owner,Tier2,Asset Manager,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Centuria,Asset Owner,Tier2,Facilities Manager,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Centuria,Asset Owner,Tier2,Property Operations Manager,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Centuria,Asset Owner,Tier2,Head of Operations,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Centuria,Asset Owner,Tier2,Procurement Manager,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cromwell Property Group,Asset Owner,Tier2,Asset Manager,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cromwell Property Group,Asset Owner,Tier2,Facilities Manager,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cromwell Property Group,Asset Owner,Tier2,Property Operations Manager,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cromwell Property Group,Asset Owner,Tier2,Head of Operations,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Cromwell Property Group,Asset Owner,Tier2,Procurement Manager,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Vicinity Centres,Asset Owner,Tier3,Asset Manager,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Vicinity Centres,Asset Owner,Tier3,Facilities Manager,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Vicinity Centres,Asset Owner,Tier3,Property Operations Manager,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Vicinity Centres,Asset Owner,Tier3,Head of Operations,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Vicinity Centres,Asset Owner,Tier3,Procurement Manager,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,AMP Capital Real Estate,Asset Manager,Tier2,Asset Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,AMP Capital Real Estate,Asset Manager,Tier2,Facilities Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,AMP Capital Real Estate,Asset Manager,Tier2,Operations Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,AMP Capital Real Estate,Asset Manager,Tier2,Property Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,AMP Capital Real Estate,Asset Manager,Tier2,Procurement Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,IFM Investors Real Estate,Asset Manager,Tier2,Asset Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,IFM Investors Real Estate,Asset Manager,Tier2,Facilities Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,IFM Investors Real Estate,Asset Manager,Tier2,Operations Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,IFM Investors Real Estate,Asset Manager,Tier2,Property Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,IFM Investors Real Estate,Asset Manager,Tier2,Procurement Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,LaSalle Investment Management,Asset Manager,Tier2,Asset Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,LaSalle Investment Management,Asset Manager,Tier2,Facilities Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,LaSalle Investment Management,Asset Manager,Tier2,Operations Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,LaSalle Investment Management,Asset Manager,Tier2,Property Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,LaSalle Investment Management,Asset Manager,Tier2,Procurement Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Brookfield Properties Australia,Asset Owner,Tier2,Asset Manager,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Brookfield Properties Australia,Asset Owner,Tier2,Facilities Manager,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Brookfield Properties Australia,Asset Owner,Tier2,Property Operations Manager,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Brookfield Properties Australia,Asset Owner,Tier2,Head of Operations,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Brookfield Properties Australia,Asset Owner,Tier2,Procurement Manager,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Asset Manager,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Facilities Manager,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Property Operations Manager,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Head of Operations,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Procurement Manager,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank NSW Office Leasing,Broker,Tier2,Director Office Leasing,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,officeleasing@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank NSW Office Leasing,Broker,Tier2,Leasing Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,officeleasing@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank NSW Office Leasing,Broker,Tier2,Head of Tenant Services,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,officeleasing@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Knight Frank NSW Office Leasing,Broker,Tier2,Property Services Lead,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,officeleasing@au.knightfrank.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
